id,age,gender,area,status,education,consuptionAbility,device,work,connectionType,behavior
1,38,,,4,5,,,,,
2,,,,,,,,,,
3,31,,,,,,,,,
4,,,,,,,,,,
5,9,,,,,,,,,
6,12,,,,,,,,,
7,10,,,,4,,,,2,24
8,6,,2,,,,,,,26
9,,,,,,,,,,
10,,,62,,,,,,,
11,10,,15,,,,,,,
12,,,394,,,,,,,
13,40,,,,,,,,,
14,,,,,,,,,,
15,31,,,,,,,,,
16,,,1,,,,,,,
17,,,,,,,,,,
18,2,1,6,4,,,,,,
19,28,,1,,,,,,,18
20,37,,1,,,,,,,
21,,,1,,,,,,,
22,10,,,,,,,,,
23,7,,,,,,,,,
24,,,1,,,,,,,
25,22,1,94,,,,,,,
26,31,,,,,,,,,
27,11,,,,,,,,,22
28,23,,,,,,,,,
29,17,,1,,,,,,,
30,5,,31,,,,,,,
31,31,,,,,,,,,
32,22,1,2,,,,,,,
33,31,,,,,,,,,
34,,,,,,,,,,
35,17,,1,,,,,,2,35
36,27,,,,4,,,,2,11
37,11,1,323,,,,2,,3,27
38,32,,,,,,,,,
39,5,,3,,,,,,,5
40,26,,,,,,,,,
41,8,,,,4,,,,2,21
42,,,,,,,,,,
43,9,,1,,,,,,,
44,14,,,,,,,,,13
45,982,,15,,,,,,,
46,,,4,,,,,,,
47,,,64,,,,,,,
48,,,2,,,,,,,
49,8,1,2,,,,,,,69
50,,,,,,,,,,
51,,,,,,,,,,
52,31,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,10,,,,,,,,,
56,11,,32,,4,,,,,44
57,4,1,,,,,,,,7
58,7,1,30,,,,,,,18
59,3,,1,,,,,,,
60,7,,,,,,,,,
61,15,,,,,,,,,
62,7,,,,,,,,,
63,23,,,,,,,,,
64,39,,1,,,,,,,
65,16,,1,,,,,,,
66,2,,1,,,,,,,
67,,,,,,,,,,
68,18,,,,,,,,,
69,24,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,4,,26,,,,,,,
73,24,1,18,,,,,,,6
74,10,,,,4,,,,2,11
75,7,,1,,,,,,,
76,27,,54,,,,1,,2,
77,22,1,94,,,,,,,
78,10,,1,,,,,,,
79,40,,,,,,,,,
80,4,1,31,,,,,,,53
81,975,1,,,,,,,,
82,27,,1,,,,,,,
83,10,,,,,,,,,
