ad_id,time,age,gender,area,status,education,consuptionAbility,device,work,connectionType,behavior
31,2019-03-13 07:22:50,,,1,,,,,,,
32,2018-11-30 15:40:17,,,1,,,,,,,
84,2019-03-07 07:52:47,,,1,,,,,,,
85,2019-02-27 15:52:07,34,,1,2,,,,,,
128,2019-03-07 05:40:09,,,1,,,,,,,
139,2018-06-29 14:03:24,,,1,,,,,,,
168,2019-03-17 15:12:38,,,1,,,,,,,
180,2019-03-17 15:32:31,,,1,,,,,,,
193,2018-07-05 14:21:28,,,1,,,,,,,
235,2018-11-01 04:35:38,31,,,,,,,,,
260,2018-11-29 04:31:27,31,,,,,,,,,
332,2019-02-15 18:21:45,,,1,,,,,,,
387,2019-02-28 05:38:59,,,1,,,,,,,
394,2019-03-05 13:32:27,31,,,,,,,,,
399,2019-03-04 15:35:52,6,1,2,,,,,,,19
410,2018-08-22 12:07:50,,,1,,,,,,,
415,2019-01-18 13:31:44,,,,,,,,,,
437,2019-02-12 17:44:13,17,,1,2,,,,,2,16
492,2019-02-11 19:51:34,,,1,,,,,,,
552,2019-03-12 05:37:57,,,1,,,,,,,
562,2018-06-21 14:30:10,31,,,,,,,,,
586,2018-12-18 23:31:51,31,,,,,,,,,
635,2019-03-14 19:02:24,,,,,,,,,,
647,2019-01-01 20:31:47,,,1,,,,,,,
701,2018-12-24 04:36:03,,,1,,,,,,,
705,2019-03-19 13:02:04,34,,1,2,,,,,,
718,2019-02-18 10:42:06,,,1,,,,,,,
748,2018-08-09 11:42:02,,,1,,,,,,,
750,2019-03-09 05:39:22,,,1,,,,,,,
764,2019-02-25 16:00:46,51,,90,,,,,,,
853,2019-03-03 13:51:56,,,1,,,,,,,
890,2019-02-20 14:57:53,2,1,4,,,,,,3,
909,2019-03-06 05:33:30,,,1,,,,,,,
935,2019-02-20 12:52:10,34,,1,2,,,,,,
979,2018-12-19 04:44:52,31,,,,,,,,,
1086,2019-03-03 13:41:46,,,1,,,,,,,
1090,2019-03-07 18:52:27,,,,,,,,,,
1114,2018-04-23 16:35:18,,,29,,,,,,,
1118,2019-03-18 15:24:15,51,,128,,,,,,,
1158,2019-03-16 18:19:14,,,,,,,,,,
1175,2019-03-01 18:01:59,,,,,,,,,,
1183,2019-01-16 05:47:54,,,1,,,,,,,
1216,2018-12-18 20:50:31,31,,,,,,,,,
1225,2018-12-24 04:37:42,,,1,,,,,,,
1265,2018-10-09 15:31:57,,,1,,,,,,,
1280,2019-03-04 11:52:06,,,1,,,,,,,
1298,2018-12-19 04:41:41,,,1,,,,,,,
1307,2019-03-02 10:33:00,24,,1,,,,,,,
1351,2018-12-19 04:44:19,31,,,,,,,,,
1383,2018-12-26 18:03:03,,,,,,,,,,
1387,2019-02-18 05:36:43,,,1,,,,,,,
1391,2019-03-19 12:52:32,,,,,,,,,,
1427,2019-03-02 05:36:07,34,,1,2,,,,,,
1444,2018-12-02 04:30:49,,,1,,,,,,,
1450,2019-02-27 21:12:26,29,1,8,,,,,,,6
1471,2019-03-01 17:31:47,,1,,,,,,,,1
1491,2019-03-01 12:52:11,,,,,,,,,,
1496,2019-01-07 05:34:48,,,1,,,,,,,
1551,2019-03-10 05:34:43,,,1,,,,,,,
1647,2019-01-25 07:03:14,31,,,,,,,,,
1677,2019-03-08 16:48:58,976,,5,,,,,,,
1746,2019-01-23 07:03:34,31,,,,,,,,,
1747,2019-02-17 05:36:23,34,,1,2,,,,,,
1861,2019-03-15 17:49:06,34,,7,,,,,,4,28
1915,2019-01-04 05:34:33,,,1,,,,,,,
1943,2019-02-28 05:36:18,,,1,,,,,,,
1944,2018-12-09 13:35:14,31,,,,,,,,,
1957,2019-02-24 00:04:57,4,,3,,1,,,,,50
2019,2019-02-26 19:51:55,,,1,,,,,,,
2155,2019-03-19 13:56:42,24,1,18,,,,,,,14
2171,2019-02-28 05:36:37,,,1,,,,,,,
2201,2019-03-18 10:49:40,22,,1,,,,,,,
2216,2019-02-26 15:20:56,51,,90,,,,,,,
2264,2019-03-01 15:08:00,960,1,62,,,,,,,8
2317,2018-06-21 19:21:05,31,,,,,,,,,
2336,2019-03-02 00:35:01,24,1,60,,,,,,,7
2393,2019-01-13 05:38:29,34,,1,2,,,,,,
2405,2018-12-20 11:16:34,31,,,,,,,,,
2426,2019-02-27 18:51:53,,,,,,,,,,
2463,2018-06-21 15:20:31,31,,,,,,,,,
